"Animal";"Country";"Production type";"Sample unit";"Units tested";"Positive for MRSA (%)"
"Cattle (bovine animals)";"Netherlands";"Cattle (bovine animals) - dairy cows";"animal";316;"2 (0.6%)"
"Cattle (bovine animals)";"Switzerland";"Cattle (bovine animals) - calves (under 1 year)";"animal";307;"11 (3.6%)"
"Gallus gallus (fowl)";"Belgium";"Gallus gallus (fowl) - broilers - during rearing period";"herd/flock";96;"1 (1%)"
"Gallus gallus (fowl)";"Belgium";"Gallus gallus (fowl) - laying hens - adult";"herd/flock";33;"0 (0%)"
"Pigs";"Germany";"Pigs - breeding animals";"herd/flock";351;"91 (25.9%)"
"Pigs";"Norway";"Pigs";"herd/flock";541;"0 (0%)"
"Pigs";"Slovakia";"Pigs";"animal";130;"27 (20.8%)"
"Pigs";"Switzerland";"Pigs - fattening pigs";"animal";310;"166 (53.5%)"
"Small ruminants";"Netherlands";"Sheep - meat production animals";"herd/flock";156;"8 (5.1%)"
"Turkeys";"Belgium";"Turkeys - fattening flocks";"herd/flock";27;"5 (18.5%)"
