"Category";"Country";"type";"samp_type";"SPA";"n";"N";"ST";"CC";"CC_infer";"Host"
"food";"Germany";"Meat from turkey";NA;"1451";1;400;NA;"398";"398";"LA"
"food";"Germany";"Meat from turkey";NA;"1451";3;355;NA;"398";"398";"LA"
"food";"Germany";"Meat from turkey";NA;"3841";6;400;NA;NA;NA;NA
"food";"Germany";"Meat from turkey";NA;"3841";1;400;"672";NA;NA;NA
"food";"Germany";"Meat from turkey";NA;"3841";1;355;NA;NA;NA;NA
"food";"Germany";"Meat from turkey";NA;"6575";3;400;NA;"398";"398";"LA"
"food";"Germany";"Meat from turkey";NA;"8425";2;400;NA;NA;NA;NA
"food";"Germany";"Meat from turkey";NA;"8425";1;355;NA;NA;NA;NA
"food";"Germany";"Meat from turkey";NA;"8425";1;355;"45";NA;NA;NA
"food";"Germany";"Meat from turkey";NA;"8588";2;400;NA;"398";"398";NA
"food";"Germany";"Meat from turkey";NA;"8588";1;355;NA;"398";"398";NA
"food";"Germany";"Meat from turkey";NA;"10204";1;355;NA;"1";"1";"LA"
"food";"Germany";"Meat from turkey";NA;"10485";2;400;NA;"398";"398";"LA"
"food";"Germany";"Meat from turkey";NA;"21298";3;400;NA;"398";"398";NA
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"11";1;145;"6035";"398";"398";"LA"
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"11";49;145;"398";"398";"398";"LA"
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"11";10;126;"398";"398";"398";"LA"
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"11";6;85;"398";"398";"398";"LA"
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"108";1;85;"398";"398";"398";"LA"
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"177";1;85;"9381";"1";"1";NA
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"588";1;126;"398";"398";"398";"LA"
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"1344";1;145;"398";"398";"398";NA
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"1451";2;145;"398";"398";"398";"LA"
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"1456";1;126;"398";"398";"398";"LA"
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"1606";1;145;"398";"398";"398";NA
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"2011";5;145;"398";"398";"398";"LA"
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"2346";1;145;"398";"398";"398";"LA"
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"2970";3;145;"398";"398";"398";NA
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"3423";1;145;"398";"398";"398";"LA"
"animal";"Germany";"Gallus gallus (fowl)";NA;"34";3;261;NA;"398";"398";"LA"
