"Animal";"Country";"Production type";"Sample unit";"Units tested";"Positive for MRSA (%)"
"Dogs";"Netherlands";"Dogs";"animal";7969;"8 (0.1%)"
"Felidae";"Netherlands";"Cats - pet animals";"animal";2883;"3 (0.1%)"
"Solipeds, domestic";"Netherlands";"Solipeds, domestic - horses";"animal";1028;"13 (1.3%)"
