"Category";"Country";"type";"samp_type";"SPA";"n";"N";"ST";"CC";"CC_infer";"Host"
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"177";1;85;"9381";"1";"1";NA
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"588";1;126;"398";"398";"398";"LA"
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"1344";1;145;"398";"398";"398";NA
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"1451";2;145;"398";"398";"398";"LA"
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"1456";1;126;"398";"398";"398";"LA"
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"1606";1;145;"398";"398";"398";NA
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"2011";5;145;"398";"398";"398";"LA"
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"2346";1;145;"398";"398";"398";"LA"
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"2970";3;145;"398";"398";"398";NA
"animal";"Belgium";"Cattle (bovine animals)";"animal sample - nasal swab";"3423";1;145;"398";"398";"398";"LA"
"animal";"Germany";"Gallus gallus (fowl)";NA;"34";3;261;NA;"398";"398";"LA"
